Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
Middle Men,George Gallo,"['Christopher Mallick ', 'William Sherak ', 'Jason Shuman ', 'Michael Weiss']",Lukas Ettlin,United States,105.0,2009-05-17,Paramount Pictures (through Paramount Vantage ),English,"['George Gallo', 'Andy Weiss']","['Luke Wilson', ' ', 'Giovanni Ribisi', ' ', 'Gabriel Macht', ' ', 'James Caan']",Malcolm Campbell,Brian Tyler,"['Oxymoron Entertainment', 'Mallick Media', 'Blue Star Entertainment']",,,20000000.0,754301.0,Failure,2009,8Hm9lsrXjAM,Middle Men - Trailer
Twelve,Joel Schumacher,"['Sidonie Dumas', 'Ted Field', 'Charlie Corwin', 'Jordan Melamed', 'Robert Salerno']",Steven Fierberg,,94.0,2010-01-29,"['Hannover House (United States)', 'Gaumont (France)']",English,Jordan Melamed,"['Chace Crawford', 'Rory Culkin', 'Curtis Jackson', 'Emily Meade', 'Emma Roberts']","['Paul Zucker', 'Gordon Grinberg']",Harry Gregson-Williams,"['Gaumont', 'Radar Pictures', 'Original Media']","['Twelve', 'by ', 'Nick McDonell']",,5000000.0,2600000.0,Failure,2010,NcDW-eZOz1k,twelve | OFFICIAL trailer #1 US (2010)
Eat Pray Love,Ryan Murphy,Dede Gardner,Robert Richardson,United States,133.0,2010-08-13,Sony Pictures Releasing,,"['Ryan Murphy', 'Jennifer Salt']","['Julia Roberts', 'James Franco', 'Richard Jenkins', 'Viola Davis', 'Billy Crudup', 'Javier Bardem']",Bradley Buecker,Dario Marianelli,"['Columbia Pictures', 'Plan B Entertainment']","['Eat, Pray, Love', 'by ', 'Elizabeth Gilbert']",,60000000.0,204600000.0,Success,2010,mjay5vgIwt4,Watch the Official EAT PRAY LOVE Trailer in HD
The Expendables,Sylvester Stallone,"['Avi Lerner', 'John Thompson', 'Kevin King-Templeton']",Jeffrey Kimball,United States,103.0,2010-08-03,Lionsgate,English,"['David Callaham', 'Sylvester Stallone']","['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Eric Roberts', 'Randy Couture', 'Steve Austin', 'David Zayas', 'Giselle Itié', 'Charisma Carpenter', 'Gary Daniels', 'Terry Crews', 'Mickey Rourke']","['Ken Blackwell', 'Paul Harb']",Brian Tyler,"['Millennium Films', 'Nu Image']",,David Callaham,80000000.0,274500000.0,Success,2010,8KtYRALe-xo,The Expendables (2010) - Official Trailer #1
Scott Pilgrim vs. the World,Edgar Wright,"['Eric Gitter', 'Nira Park', 'Marc Platt', 'Edgar Wright']",Bill Pope,,112.0,2010-07-27,Universal Pictures,English,"['Michael Bacall', 'Edgar Wright']","['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Chris Evans', 'Anna Kendrick', 'Alison Pill', 'Brandon Routh', 'Jason Schwartzman']","['Jonathan Amos', 'Paul Machliss']",Nigel Godrich,"['Marc Platt Productions', 'Big Talk Films', 'Closed on Mondays Entertainment', 'Dentsu']","['Scott Pilgrim', 'by ', ""Bryan Lee O'Malley""]",,60000000.0,49300000.0,Failure,2010,7wd5KEaOtm4,Scott Pilgrim Vs. The World - Official Trailer
Animal Kingdom,David Michôd,Liz Watts,Adam Arkapaw,Australia,113.0,2010-01-22,Madman Entertainment,English,David Michôd,"['Ben Mendelsohn', 'Joel Edgerton', 'Guy Pearce', 'Luke Ford', 'Jacki Weaver', 'Sullivan Stapleton', 'James Frecheville']",Luke Doolan,Antony Partos,"['Screen Australia', 'Porchlight Films', 'Film Victoria', 'Screen NSW', 'Fulcrum Media Finance', 'Showtime Australia', 'Blue-Tongue Films']",,,5000000.0,7200000.0,Failure,2010,YNszOl14AWg,Animal Kingdom | Official Trailer HD (2010)
Vampires Suck,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer', 'Peter Safran']",Shawn Maurer,United States,82.0,2010-08-18,20th Century Fox,English,"['Jason Friedberg', 'Aaron Seltzer']","['Jenn Proske', 'Matt Lanter', 'Chris Riggi', 'Ken Jeong']",Peck Prior,Christopher Lennertz,"['Regency Enterprises', '3 in the Box']",,,20000000.0,81400000.0,Success,2010,Gw1oGbdXzoU,Official Vampires Suck | Trailer HD | 20th Century FOX
Lottery Ticket,Erik White,"['Matt Alvarez', 'Mark Burg', 'Oren Koules', 'Andrew Kosove', 'Broderick Johnson']",Patrick Cady,United States,100.0,2010-08-20,Warner Bros. Pictures,English,Abdul Williams,"['Bow Wow', 'Brandon T. Jackson', 'Naturi Naughton', 'Keith David', 'Charlie Murphy', 'Gbenga Akinnagbe', 'Terry Crews', 'Loretta Devine', 'Ice Cube']",Harvey Rosenstock,Teddy Castellucci,"['Alcon Entertainment', 'Burg/Koules Productions', 'Cube Vision', 'Sweepstake Productions']",,"['Erik White', 'Abdul Williams']",19000000.0,24800000.0,Failure,2010,N2u5JvA5sCs,"Lottery Ticket (2010) Official Trailer - Ice Cube, Terry Crews Movie HD"
Nanny McPhee and the Big Bang,Susanna White,"['Tim Bevan', 'Eric Fellner', 'Lindsay Doran']",Mike Eley,,109.0,2010-04-02,"['Universal Pictures', ' (North America and International)', 'StudioCanal (France)']",English,Emma Thompson,"['Emma Thompson', 'Maggie Gyllenhaal', 'Rhys Ifans', 'Maggie Smith']",Sim Evan-Jones,James Newton Howard,"['StudioCanal', 'Relativity Media', 'Working Title Films', 'Three Strange Angels']","['Nurse Matilda', 'by ', 'Christianna Brand']",,35000000.0,93200000.0,Success,2010,54xMw6eouOM,Nanny McPhee Returns - Trailer
Piranha,Alexandre Aja,"['Alexandre Aja', 'Mark Canton', 'Marc Toberoff', 'Grégory Levasseur']",John R. Leonetti,United States,88.0,2010-08-20,The Weinstein Company,English,"['Pete Goldfinger', 'Josh Stolberg']","['Elisabeth Shue', 'Steven R. McQueen', 'Adam Scott', 'Jessica Szohr', ""Jerry O'Connell"", 'Kelly Brook', 'Ving Rhames', 'Christopher Lloyd', 'Richard Dreyfuss']",Baxter,Michael Wandmacher,"['Dimension Films', 'Atmosphere Entertainment', 'Chako Film Company', 'Intellectual Properties Worldwide']","['Piranha', 'by ', 'John Sayles']",,24000000.0,83100000.0,Success,2010,p7ezzRGIpH4,Piranha (2010) - Trailer
The Switch,['Will Speck Josh Gordon'],"['Albert Berger', 'Ron Yerxa']",Jess Hall,United States,101.0,2010-08-16,Walt Disney Studios Motion Pictures,English,Allan Loeb,"['Jennifer Aniston', 'Jason Bateman', 'Patrick Wilson', 'Jeff Goldblum', 'Juliette Lewis']",John Axelrad,Alex Wurman,"['Miramax Films', 'Mandate Pictures', 'Echo Films']","['""Baster""', 'by ', 'Jeffrey Eugenides']",,19000000.0,49900000.0,Success,2010,sTDzGVO-C38,The Switch (2010) Official Trailer 1 - Jason Bateman Movie
The Army of Crime,Robert Guédiguian,Dominique Barneaud,Pierre Milon,France,139.0,2009-05-17,StudioCanal,French,"['Robert Guédiguian', 'Serge Le Péron', 'Gilles Taurand']","['Virginie Ledoyen', 'Simon Abkarian']",Bernard Sasia,Alexandre Desplat,,,,9200000.0,4400000.0,Failure,2009,8qJy8AZNFbs,THE ARMY OF CRIME  - Trailer - Directed by Robert Guédiguian
The Last Exorcism,Daniel Stamm,"['Eric Newman', 'Eli Roth', 'Marc Abraham', 'Thomas A. Bliss']",Zoltan Honti,United States,87.0,2010-06-24,Lionsgate,English,"['Huck Botko', 'Andrew Gurland']","['Patrick Fabian', 'Ashley Bell', 'Iris Bahr', 'Louis Herthum', 'Caleb Landry Jones']",Shilpa Sahi,Nathan Barr,"['Strike Entertainment', 'StudioCanal', 'Arcade Pictures']",,,1800000.0,67700000.0,Success,2010,F3cI0pArMA0,The Last Exorcism (2010) Official Trailer #1 - Ashley Bell Horror Movie
Takers,John Luessenhop,"['Will Packer', 'Tip ""T.I."" Harris', 'Jason Geter']",Michael Barrett,United States,107.0,2010-08-27,Sony Pictures Releasing,English,"['Peter Allen', 'Gabriel Casseus', 'John Luessenhop', 'Avery Duff']","['Matt Dillon', 'Paul Walker', 'Idris Elba', 'Jay Hernandez', 'Michael Ealy', 'Tip ""T.I."" Harris', 'Chris Brown', 'Hayden Christensen']",Armen Minasian,Paul Haslinger,"['Screen Gems', 'Rainforest Films', 'Grand Hustle Films']",,,32000000.0,69100000.0,Failure,2010,Z1JXKCProqA,Watch the official TAKERS trailer - In Theaters 8/27/2010
Avatar,James Cameron,"['James Cameron', 'Jon Landau']",Mauro Fiore,,162.0,2009-12-10,20th Century Fox,English,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Stephen Lang', 'Giovanni Ribisi', 'Michelle Rodriguez', 'Sigourney Weaver']","['Stephen Rivkin', 'John Refoua', 'James Cameron']",James Horner,"['20th Century Fox', 'Lightstorm Entertainment', 'Dune Entertainment', 'Ingenious Film Partners']",,,237000000.0,2923000000.0,Success,2009,5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX
Centurion,Neil Marshall,"['Christian Colson', 'Robert Jones']",Sam McCurdy,United Kingdom,97.0,2010-02-15,Warner Bros. Entertainment UK,,Neil Marshall,"['Michael Fassbender', 'Dominic West', 'Olga Kurylenko', 'Noel Clarke', 'Liam Cunningham', 'David Morrissey', 'Riz Ahmed', 'JJ Feild', 'Dimitri Leonidas', 'Imogen Poots', 'Ulrich Thomsen']",Chris Gill,Ilan Eshkeri,"['Pathé', 'UK Film Council', 'Celador Films', 'Canal+']",,,12000000.0,6900000.0,Failure,2010,KOZs2_i_cDE,Centurion Movie Trailer
The American,Anton Corbijn,"['Anne Carey', 'Jill Green', 'Ann Wingate', 'Grant Heslov', 'George Clooney']",Martin Ruhe,United States,105.0,2010-09-01,Focus Features,,Rowan Joffé,"['George Clooney', 'Violante Placido', 'Thekla Reuten', 'Paolo Bonacelli']",Andrew Hulme,Herbert Grönemeyer,"['This is that', 'Smokehouse Pictures', 'Greenlit']","['A Very Private Gentleman', 'by ', 'Martin Booth']",,20000000.0,67900000.0,Success,2010,hPYRslx1w4Y,The American (2010) Official Trailer - George Clooney Movie HD
Going the Distance,Nanette Burstein,"['Adam Shankman', 'Jennifer Gibgot', 'Garrett Grant']",Eric Steelberg,United States,102.0,2010-08-27,Warner Bros. Pictures,English,Geoff LaTulippe,"['Drew Barrymore', 'Justin Long', 'Charlie Day', 'Jason Sudeikis', 'Christina Applegate']",Peter Teschner,Mychael Danna,"['New Line Cinema', 'Offspring Entertainment']",,,32000000.0,42100000.0,Failure,2010,hU4YbHeoYGs,Going The Distance | trailer #1 US (2010)
Machete,"['Robert Rodriguez', 'Ethan Maniquis']","['Elizabeth Avellán', 'Rick Schwartz']",Jimmy Lindsey,United States,105.0,2010-09-01,20th Century Fox,,"['Robert Rodriguez', 'Álvaro Rodriguez']","['Danny Trejo', 'Steven Seagal', 'Michelle Rodriguez', 'Jeff Fahey', 'Cheech Marin', 'Lindsay Lohan', 'Don Johnson', 'Jessica Alba', 'Robert De Niro']","['Robert Rodriguez', 'Rebecca Rodriguez']",Chingon,"['Overnight Films', 'Troublemaker Studios']",,,10500000.0,45500000.0,Success,2010,GuDF9CEtFwE,MACHETE - Trailer
Resident Evil: Afterlife,Paul W. S. Anderson,"['Jeremy Bolt', 'Paul W. S. Anderson', 'Robert Kulzer', 'Don Carmody', 'Bernd Eichinger', 'Samuel Hadida']",Glen MacPherson,,97.0,2010-09-02,"['Sony Pictures Releasing', ' (Worldwide; under ', 'Screen Gems', ')', 'Constantin Film Verleih (Germany)', 'Metropolitan Filmexport', ' (France)']",English,Paul W. S. Anderson,"['Milla Jovovich', 'Ali Larter', 'Kim Coates', 'Shawn Roberts', 'Sergio Peris-Mencheta', 'Spencer Locke', 'Boris Kodjoe', 'Wentworth Miller']",Niven Howie,Tomandandy,"['Constantin Film', 'Davis Films', 'Impact Pictures']","['Resident Evil', 'by ', 'Capcom']",,60000000.0,300200000.0,Success,2010,SRRN6MvCdeg,Official Resident Evil: Afterlife Trailer in HD
Never Let Me Go,Mark Romanek,"['Andrew Macdonald', 'Allon Reich']",Adam Kimmel,United Kingdom,103.0,2010-09-03,Fox Searchlight Pictures,English,Alex Garland,"['Carey Mulligan', 'Keira Knightley', 'Andrew Garfield', 'Ella Purnell']",Barney Pilling,Rachel Portman,"['DNA Films', 'Film4 Productions']","['Never Let Me Go', 'by ', 'Kazuo Ishiguro']",,15000000.0,9900000.0,Failure,2010,sXiRZhDEo8A,NEVER LET ME GO | Official Trailer | FOX Searchlight
Alpha and Omega,"['Anthony Bell', 'Ben Gluck']","['Richard Rich', 'Ken Katsumoto', 'Steve Moore']",,United States,88.0,2010-09-08,Lionsgate,English,"['Christopher Denk', 'Steve Moore']","['Justin Long', 'Hayden Panettiere', 'Dennis Hopper', 'Danny Glover', 'Christina Ricci']",Joseph L. Campana,Chris Bacon,Crest Animation,,"['Steve Moore', 'Ben Gluck']",20000000.0,50500000.0,Success,2010,F6hpN2t7_lc,Alpha &amp; Omega (2010) - Official Trailer
Devil,John Erick Dowdle,"['M. Night Shyamalan', 'Sam Mercer']",Tak Fujimoto,United States,80.0,2010-09-17,Universal Pictures,English,Brian Nelson,"['Chris Messina', 'Logan Marshall-Green', 'Geoffrey Arend', 'Bojana Novakovic', ""Jenny O'Hara"", 'Bokeem Woodbine', 'Matt Craven', 'Jacob Vargas']",Elliot Greenberg,Fernando Velázquez,"['Media Rights Capital', 'The Night Chronicles']",,M. Night Shyamalan,10000000.0,62600000.0,Success,2010,wYy7igKD21A,Devil - Trailer
Easy A,Will Gluck,"['Zanne Devine', 'Will Gluck']",Michael Grady,United States,92.0,2010-09-11,Sony Pictures Releasing,English,Bert V. Royal,"['Emma Stone', 'Penn Badgley', 'Amanda Bynes', 'Thomas Haden Church', 'Patricia Clarkson', 'Cam Gigandet', 'Lisa Kudrow', 'Malcolm McDowell', 'Aly Michalka', 'Stanley Tucci']",Susan Littenberg,Brad Segal,"['Screen Gems', 'Olive Bridge Entertainment']",,,8000000.0,75000000.0,Success,2010,KNbPnqyvItk,EASY A - Official Trailer
The Town,Ben Affleck,"['Basil Iwanyk', 'Graham King']",Robert Elswit,United States,124.0,2010-09-08,Warner Bros. Pictures,English,"['Peter Craig', 'Ben Affleck', 'Aaron Stockard']","['Ben Affleck', 'Rebecca Hall', 'Jon Hamm', 'Jeremy Renner', 'Blake Lively', 'Titus Welliver', 'Pete Postlethwaite', 'Chris Cooper']",Dylan Tichenor,"['David Buckley', 'Harry Gregson-Williams']","['Legendary Pictures', 'GK Films', 'Thunder Road Pictures']","['Prince of Thieves', 'by ', 'Chuck Hogan']",,37000000.0,154000000.0,Success,2010,WcXt9aUMbBk,The Town Official Trailer #1 - (2010) HD
Catfish,"['Henry Joost', 'Ariel Schulman']","['Andrew Jarecki', 'Marc Smerling', 'Henry Joost', 'Ariel Schulman']","['Henry Joost', 'Ariel Schulman', 'Nev Schulman']",United States,87.0,2010-01-22,Universal Pictures,English,,"['Nev Schulman', 'Henry Joost', 'Ariel Schulman']",Zachary Stuart-Pontier,Mark Mothersbaugh,"['Relativity Media', ' ', 'Rogue Pictures', 'Hit the Ground Running', 'A Supermarche']",,,30000.0,3500000.0,Success,2010,BuE98oeL-e0,Catfish - Trailer
Leaves of Grass,Tim Blake Nelson,"['John Langley', 'Elie Cohn', 'Kristina Dubin', 'William Migliore', 'Tim Blake Nelson', 'Edward Norton']",Roberto Schaefer,United States,105.0,2009-09-14,Millennium Films,English,Tim Blake Nelson,"['Edward Norton', 'Keri Russell', 'Tim Blake Nelson', 'Richard Dreyfuss', 'Susan Sarandon']",Michelle Botticelli,Jeff Danna,First Look Studios,,,9000000.0,1018753.0,Failure,2009,RR4syp8Nhs8,Leaves of Grass - Trailer (HD)
You Will Meet a Tall Dark Stranger,Woody Allen,"['Letty Aronson', 'Stephen Tenenbaum', 'Jaume Roures']",Vilmos Zsigmond,,100.0,2010-05-15,"['Sony Pictures Classics (United States)', 'Alta Films (Spain)']",English,Woody Allen,"['Antonio Banderas', 'Josh Brolin', 'Anthony Hopkins', 'Gemma Jones', 'Freida Pinto', 'Lucy Punch', 'Naomi Watts']",Alisa Lepselter,,"['Mediapro', 'Antena 3', 'Gravier Productions', 'Dippermouth']",,,22000000.0,36000000.0,Failure,2010,BMOpyl14mII,You Will Meet a Tall Dark Stranger | Official Trailer (2010)
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,Zareh Nalbandian,,,97.0,2010-09-19,"['Warner Bros. Pictures', 'Roadshow Entertainment']",English,"['John Orloff', 'Emil Stern']","['Helen Mirren', 'Geoffrey Rush', 'Jim Sturgess', 'Hugo Weaving', 'Emily Barclay', 'Abbie Cornish', 'Ryan Kwanten', 'Anthony LaPaglia', 'Miriam Margolyes', 'Sam Neill', 'Richard Roxburgh', 'David Wenham']",David Burrows,David Hirschfelder,"['Village Roadshow Pictures', 'Animal Logic', 'GOG Productions']","[""Guardians of Ga'Hoole"", 'by ', 'Kathryn Lasky']",,80000000.0,140100000.0,Failure,2010,0c5gYg3adeI,Legend of the Guardians: The Owls of Ga&#39;Hoole Official Trailer #1 - (2010) HD
Wall Street: Money Never Sleeps,Oliver Stone,"['Edward R. Pressman', 'Eric Kopeloff']",Rodrigo Prieto,United States,133.0,2010-05-14,20th Century Fox,English,"['Allan Loeb', 'Stephen Schiff']","['Michael Douglas', 'Shia LaBeouf', 'Josh Brolin', 'Carey Mulligan', 'Eli Wallach', 'Susan Sarandon', 'Frank Langella']","['Julie Monroe', 'David Brenner']",Craig Armstrong,"['Edward R. Pressman Productions', 'Ixtlan Production', 'Dune Entertainment']","['Characters', 'by ', 'Stanley Weiser', ' and Oliver Stone']",,70000000.0,134700000.0,Failure,2010,HcMFA2SHES4,Wall Street: Money Never Sleeps | Official Trailer (HD) | 20th Century FOX
You Again,Andy Fickman,"['Andy Fickman', 'John J. Strauss', 'Eric Tannenbaum']",David Hennings,United States,105.0,2010-09-24,"['Walt Disney Studios', 'Motion Pictures']",English,Moe Jelline,"['Kristen Bell', 'Sigourney Weaver', 'Jamie Lee Curtis', 'Odette Yustman', 'Kristin Chenoweth', 'Victor Garber', 'Betty White']",David Rennie,['Nathan Wang'],"['Touchstone Pictures', 'Frontier Pictures']",,,20000000.0,32100000.0,Failure,2010,2J2D95nGGuo,You Again | Trailer A (Official)
Case 39,Christian Alvart,"['Lisa Bruce', 'Steve Golin', 'Alix Madigan', 'Kevin Misher']",Hagen Bodanski,,109.0,2009-08-13,Paramount Pictures,English,Ray Wright,"['Renée Zellweger', 'Jodelle Ferland', 'Ian McShane', 'Bradley Cooper']",Mark Goldblatt,Michl Britsch,"['Paramount Vantage', 'Misher Films', 'Anonymous Content']",,,26000000.0,28200000.0,Failure,2009,Cd9t9yHK7Mw,Case 39 - Trailer
Let Me In,Matt Reeves,"['Alex Brunner', 'Simon Oakes', 'Guy East', 'Tobin Armbrust', 'Donna Gigliotti', 'John Nordling', 'Carl Molinder']",Greig Fraser,,116.0,2010-09-13,"['Overture Films (United States)', 'Icon Film Distribution (United Kingdom)']",English,Matt Reeves,"['Kodi Smit-McPhee', 'Chloë Grace Moretz', 'Elias Koteas', 'Richard Jenkins']",Stan Salfas,Michael Giacchino,"['Exclusive Media Group', 'Hammer Films', 'EFTI']","['Let the Right One In (novel) by John Ajvide Lindqvist', 'Let the Right One In (film) by John Ajvide Lindqvist']",,20000000.0,27000000.0,Failure,2010,x3guLR8aBpU,Let Me In (2010) Trailer #1 | Movieclips Classic Trailers
The Social Network,David Fincher,"['Scott Rudin', 'Dana Brunetti', 'Michael De Luca', 'Ceán Chaffin']",Jeff Cronenweth,United States,120.0,2010-09-24,Sony Pictures Releasing,English,Aaron Sorkin,"['Jesse Eisenberg', 'Andrew Garfield', 'Justin Timberlake', 'Armie Hammer', 'Max Minghella']","['Angus Wall', 'Kirk Baxter']","['Trent Reznor', 'Atticus Ross']","['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']","['The Accidental Billionaires', 'by ', 'Ben Mezrich']",,40000000.0,224900000.0,Success,2010,lB95KLmpLR4,THE SOCIAL NETWORK - Official Trailer [2010] (HD)
It's Kind of a Funny Story,"['Anna Boden', 'Ryan Fleck']","['Kevin Misher', 'Ben Browning']",Andrij Parekh,United States,101.0,2010-09-26,Focus Features,English,"['Anna Boden', 'Ryan Fleck']","['Keir Gilchrist', 'Emma Roberts', 'Viola Davis', 'Lauren Graham', 'Jim Gaffigan', 'Zoë Kravitz', 'Zach Galifianakis']",Anna Boden,Broken Social Scene,"['Misher Films', 'Wayfare Entertainment']","[""It's Kind of a Funny Story"", 'by ', 'Ned Vizzini']",,8000000.0,6500000.0,Failure,2010,uXU3BDvq-sQ,It&#39;s Kind of a Funny Story Official Trailer #1 - (2010) HD
Life as We Know It,Greg Berlanti,"['Barry Josephson', ' ', 'Paul Brooks']",Andrew Dunn,United States,115.0,2010-10-08,Warner Bros. Pictures,English,"['Ian Deitchman ', 'Kristin Rusk Robinson']","['Katherine Heigl', 'Josh Duhamel', 'Josh Lucas']",Jim Page,Blake Neely,"['Village Roadshow Pictures', 'Gold Circle Films', 'Josephson Entertainment']",,,38000000.0,105710000.0,Success,2010,AEa9kbnyzEE,Life as We Know It Official Trailer #1 - (2010) HD
My Soul to Take,Wes Craven,"['Wes Craven', 'Anthony Katagas', 'Iya Labunka']",Petra Korner,United States,107.0,2010-10-08,Universal Pictures,English,Wes Craven,"['Max Thieriot', 'Denzel Whitaker', 'Raul Esparza', 'Shareeka Epps']",Peter McNulty,Marco Beltrami,"['Rogue Pictures', 'Relativity Media', 'Corvus Corax']",,,25000000.0,21500000.0,Failure,2010,LjOibAVPQKk,My Soul to Take Official Trailer #1 - (2010) HD
Secretariat,Randall Wallace,"['Mark Ciardi', 'Gordon Gray']",Dean Semler,United States,123.0,2010-09-30,"['Walt Disney Studios', 'Motion Pictures']",English,"['Mike Rich', 'Sheldon Turner']","['Diane Lane', 'John Malkovich', 'Dylan Walsh', 'James Cromwell', 'Kevin Connolly', 'Scott Glenn']",John Wright,Nick Glennie-Smith,"['Walt Disney Pictures', 'Mayhem Pictures']",,,35000000.0,60300000.0,Failure,2010,UKmuvjL2cVw,Secretariat Trailer
I Spit on Your Grave,Steven R. Monroe,"['Lisa M. Hansen', 'Paul Hertzberg']",Neil Lisk,United States,108.0,2010-05-01,Anchor Bay Entertainment,English,Stuart Morse,"['Sarah Butler', 'Jeff Branson', 'Daniel Franzese', 'Rodney Eastman', 'Chad Lindberg', 'Tracey Walter', 'Andrew Howard']",Daniel Duncan,Corey Allen Jackson,CineTel Films,,,2000000.0,572809.0,Failure,2010,k-66qwVmJy0,I Spit On Your Grave 2010 Trailer
Inside Job,Charles Ferguson,"['Audrey Marrs', 'Charles Ferguson']","['Svetlana Cvetko', 'Kalyanee Mam']",United States,108.0,2010-05-16,Sony Pictures Classics,English,"['Charles Ferguson', 'Chad Beck', 'Adam Bolt']",,"['Chad Beck', 'Adam Bolt']",Alex Heffes,,,,2000000.0,7900000.0,Success,2010,FzrBurlJUNk,Inside Job | Official Trailer HD (2010)
Stone,John Curran,"['Holly Wiersma', 'David Mimran', 'Jordan Schur']",Maryse Alberti,United States,105.0,2010-09-10,"['Overture Films', 'Relativity Media']",English,Angus MacLachlan,"['Robert De Niro', 'Edward Norton', 'Milla Jovovich', 'Frances Conroy']",Alexandre de Franceschi,,Mimran Schur Pictures,,,22000000.0,10300000.0,Failure,2010,evhh3NE3fyw,Stone Movie Trailer (HD)
Wild Target,Jonathan Lynn,"['Martin Pope', 'Michael Rose']",David Johnson,,98.0,2010-04-08,"['Vue Entertainment ', 'Entertainment Film Distributors', ' (United Kingdom)']",English,Lucinda Coxon,"['Bill Nighy', 'Emily Blunt', 'Rupert Grint', 'Eileen Atkins', 'Martin Freeman', 'Rupert Everett']",Michael Parker,Michael Price,Magic Light Pictures,,,8000000.0,3500000.0,Failure,2010,PmS3ePcA6VU,Wild Target - Official UK Trailer - In UK Cinemas June 18th
Jackass 3D,Jeff Tremaine,"['Jeff Tremaine', 'Spike Jonze', 'Johnny Knoxville']",Dimitry Elyashkevich,United States,94.0,2010-10-15,Paramount Pictures,English,"['Jeff Tremaine', 'Spike Jonze', 'Johnny Knoxville', 'Bam Margera', 'Steve-O', 'Chris Pontius', 'Ryan Dunn', 'Wee Man', 'Preston Lacy', 'Ehren McGhehey', 'Dave England', 'Loomis Fall', 'Barry Owen Smoler', 'The Dudesons', 'Dave Carnie', 'Mike Kassak', 'Madison Clapp', 'Knate Lee', 'Derek Freda', 'Trip Taylor', 'Sean Cliver', 'Dimitry Elyashkevich', 'J.P. Blackmon', 'Rick Kosick']","['Johnny Knoxville', 'Bam Margera', 'Steve-O', 'Chris Pontius', 'Ryan Dunn', 'Wee Man', 'Preston Lacy', 'Dave England', 'Danger Ehren']","['Seth Casriel', 'Matthew Probst', 'Matthew Kosinski']","['Sam Spiegel', 'Amjad Albasel']","['MTV Films', 'Dickhouse Productions']","['Jeff Tremaine', 'Spike Jonze', 'Johnny Knoxville']",,20000000.0,171700000.0,Success,2010,WxOGwCH9nTM,Jackass 3D | trailer #1 (2010)
Red,Robert Schwentke,"['Lorenzo di Bonaventura', 'Mark Vahradian']",Florian Ballhaus,United States,111.0,2010-09-29,Summit Entertainment,English,"['Jon Hoeber', 'Erich Hoeber']","['Bruce Willis', 'Morgan Freeman', 'John Malkovich', 'Mary-Louise Parker', 'Helen Mirren', 'Karl Urban', 'Rebecca Pidgeon', 'Brian Cox', 'Richard Dreyfuss', 'Julian McMahon', 'Ernest Borgnine', 'James Remar']",Thom Noble,Christophe Beck,Di Bonaventura Pictures,"['Warren Ellis', 'Cully Hamner']",,58000000.0,199000000.0,Success,2010,-JZ_moituIo,"Red (2010) Official Trailer - Bruce Willis, Morgan Freeman Action Movie HD"
Conviction,Tony Goldwyn,"['Andrew Sugerman', 'Andrew S. Karsch', 'Tony Goldwyn']",Adriano Goldman,United States,107.0,2010-09-11,Fox Searchlight Pictures,English,"['Pamela Gray', 'Richard LaGravenese', ' (uncredited)']","['Hilary Swank', 'Sam Rockwell', 'Minnie Driver', 'Melissa Leo', 'Peter Gallagher', 'Juliette Lewis']",Jay Cassidy,Paul Cantelon,"['Omega Entertainment', 'Oceana Media Finance', 'Prescience']",,,12500000.0,11100000.0,Failure,2010,NrPtr0aQx3s,CONVICTION - Official Trailer
Hereafter,Clint Eastwood,"['Clint Eastwood', 'Kathleen Kennedy', 'Robert Lorenz']",Tom Stern,United States,129.0,2010-09-12,Warner Bros. Pictures,,Peter Morgan,"['Matt Damon', 'Cécile de France']","['Joel Cox', 'Gary D. Roach']",Clint Eastwood,"['The Kennedy/Marshall Company', 'Malpaso Productions', 'Amblin Entertainment']",,,50000000.0,107000000.0,Failure,2010,toJPUHh3EKI,Hereafter Official Trailer #1 - (2010) HD
Paranormal Activity 2,Tod Williams,"['Jason Blum', 'Oren Peli']",Michael Simmonds,United States,91.0,2010-10-22,Paramount Pictures,English,"['Michael R. Perry', 'Christopher Landon', 'Tom Pabst']","['Katie Featherston', 'Micah Sloat']",Gregory Plotkin,,Blumhouse Productions,,Michael R. Perry,3000000.0,177500000.0,Success,2010,ftD6rIAR-Hw,Paranormal Activity 2 Trailer
