Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
Nancy Drew and the Hidden Staircase,Katt Shea,"['Ellen DeGeneres', 'Jeff Kleeman', 'Chip Diggins']",Edd Lukas,United States,89.0,2019-03-15,Warner Bros. Pictures,English,"['Nina Fiore', 'John Herrera']","['Sophia Lillis', 'Sam Trammell', 'Linda Lavin']",Richard Nord,['Sherri Chung'],"['A Very Good Production', 'Red 56']","['Nancy Drew by Edward Stratemeyer', 'The Hidden Staircase by Carolyn Keene ( Mildred Wirt Benson )']",,17000000.0,623088.0,Failure,2019,,
Captive State,Rupert Wyatt,"['David Crockett', 'Rupert Wyatt']",Alex Disenhof,United States,109.0,2019-03-15,Focus Features,English,"['Erica Beeney', 'Rupert Wyatt']","['John Goodman', 'Ashton Sanders', 'Jonathan Majors', 'Colson Baker', 'Vera Farmiga']",Andrew Groves,Rob Simonsen,"['Participant Media', 'Lightfuse & Gettaway']",,,25000000.0,8800000.0,Failure,2019,,
Five Feet Apart,Justin Baldoni,"['Cathy Schulman', 'Justin Baldoni', 'Christopher H. Warner']",Frank G. DeMarco,United States,116.0,2019-03-15,Lionsgate,English,"['Rachael Lippincott', 'Mikki Daughtry', 'Tobias Iaconis']","['Haley Lu Richardson', 'Cole Sprouse', 'Moisés Arias', 'Kimberly Hébert Gregory', 'Parminder Nagra', 'Claire Forlani']",Angela M. Catanzaro,"['Brian Tyler', 'Breton Vivian']","['CBS Films', 'Welle Entertainment', 'Wayfarer Entertainment']",,,7000000.0,92600000.0,Success,2019,,
Triple Threat,Jesse V. Johnson,"['Mike Gabrawy', 'Gary Hamilton', 'Chen Sylen Hwa', 'Sheldon Pang', 'Mike Selby', 'He Shi', 'Elliott Tong', 'Ying Ye']",Jonathan Hall,,96.0,2019-03-19,"['Aurora Alliance Films', 'Well Go USA Entertainment']",,Dwayne Smith,"['Tony Jaa', 'Iko Uwais', 'Tiger Chen', 'Scott Adkins', 'Michael Jai White', 'Michael Bisping', 'Celina Jade', 'Jeeja Yanin']",Matthew Lorentz,Joel J. Richard,"['Kungfuman Culture Media', 'Hamilton Entertainment', 'Arclight Films', 'FJ Media Group', 'Gamegoo Pictures', 'WWE Studios', 'TF1 Séries Films', 'Ingenious Media']",,"[""Joey O'Bryan"", 'Paul Staheli']",10000000.0,345900.0,Failure,2019,,
Us,Jordan Peele,"['Jason Blum', 'Ian Cooper', 'Sean McKittrick', 'Jordan Peele']",Mike Gioulakis,,116.0,2019-03-08,Universal Pictures,English,Jordan Peele,"[""Lupita Nyong'o"", 'Winston Duke', 'Elisabeth Moss', 'Tim Heidecker']",Nicholas Monsour,Michael Abels,"['Monkeypaw Productions', 'Perfect World Pictures']",,,20000000.0,256100000.00000003,Success,2019,,
Hotel Mumbai,Anthony Maras,"['Basil Iwanyk', 'Gary Hamilton', 'Andrew Ogilvie', 'Jomon Thomas', 'Mike Gabrawy', 'Julie Ryan', 'Brian Hayes', 'Shivani Rawat']",Nick Remy Matthews,,125.0,2018-09-07,"['Bleecker Street (United States)', 'Icon Film Distribution (Australia)', 'Zee Studios', 'Purpose Entertainment (India)']",,"['John Collee', 'Anthony Maras']","['Dev Patel', 'Armie Hammer', 'Nazanin Boniadi', 'Tilda Cobham-Hervey', 'Anupam Kher', 'Jason Isaacs', 'Suhail Nayyar', 'Vipin Sharma']","['Peter McNulty', 'Anthony Maras']",Volker Bertelmann,"['Thunder Road Pictures', 'Arclight Films', 'Electric Pictures', 'Xeitgeist Entertainment Group', 'ShivHans Pictures', 'Screen Australia']",2008 Mumbai Attacks,,17300000.0,21100000.0,Failure,2018,,
Dragged Across Concrete,S. Craig Zahler,"['Sefton Fincham', 'Jack Heller', 'Tyler Jackson', 'Keith Kjarval', 'Dallas Sonnier']",Benji Bakshi,United States,159.0,2018-09-03,Lionsgate,English,S. Craig Zahler,"['Mel Gibson', 'Vince Vaughn', 'Tory Kittles', 'Michael Jai White', 'Jennifer Carpenter', 'Laurie Holden', 'Fred Melamed', 'Udo Kier', 'Thomas Kretschmann', 'Don Johnson']",Greg D'Auria,"['Jeff Herriott', 'S. Craig Zahler']","['Summit Entertainment', 'Unified Pictures', 'Cinestate', 'Look to the Sky Films', 'The Fyzz Facility', 'Assemble Media', 'Moot Point Productions']",,,15000000.0,660132.0,Failure,2018,,
Dumbo,Tim Burton,"['Justin Springer', 'Ehren Kruger', 'Katterli Frauenfelder', 'Derek Frey']",Ben Davis,United States,112.0,2019-03-11,"['Walt Disney Studios', ' Motion Pictures']",English,Ehren Kruger,"['Colin Farrell', 'Michael Keaton', 'Danny DeVito', 'Eva Green', 'Alan Arkin']",Chris Lebenzon,Danny Elfman,"['Walt Disney Pictures', 'Tim Burton Productions', 'Infinite Detective Productions', 'Secret Machine Entertainment']","[""Disney 's Dumbo by Otto Englander Joe Grant Dick Huemer"", 'Dumbo, the Flying Elephant by Helen Aberson Harold Pearl']",,170000000.0,353300000.0,Failure,2019,,
The Beach Bum,Harmony Korine,"['Charles-Marie Anthonioz', 'Mourad Belkeddar', 'Steve Golin', 'John Lesher', 'Nicholas Lhermitte']",Benoît Debie,United States,95.0,2019-03-09,Neon,English,Harmony Korine,"['Matthew McConaughey', 'Snoop Dogg', 'Isla Fisher', 'Jimmy Buffett', 'Zac Efron', 'Martin Lawrence']",Douglas Crise,John Debney,"['Iconoclast', 'Anonymous Content', 'Le Grisbi Productions', 'SPK Pictures', 'Vice Films', 'Riverstone Pictures', 'Rocket Science']",,,5000000.0,4600000.0,Failure,2019,,
Unplanned,"['Cary Solomon', 'Chuck Konzelman']","['Chris Jones', 'Joe Knopp', 'Daryl Lefever', 'Cary Solomon', 'Chuck Konzelman']",Drew Maw,United States,106.0,2019-03-29,Pure Flix Entertainment,English,"['Cary Solomon', 'Chuck Konzelman']","['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott']","['Parker Adams', 'Dana Wilson']",Stephen Blake Kanicka,Soli Deo Gloria,,,6000000.0,21300000.0,Success,2019,,
Shazam!,David F. Sandberg,Peter Safran,Maxime Alexandre,['United States'],132.0,2019-03-28,Warner Bros. Pictures,English,Henry Gayden,"['Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer', 'Djimon Hounsou']",Michel Aller,Benjamin Wallfisch,"['New Line Cinema', 'DC Films', 'The Safran Company', 'Seven Bucks Productions']","['Characters', 'from ', 'DC']","['Henry Gayden', 'Darren Lemke']",90000000.0,367800000.0,Success,2019,,
Pet Sematary,"['Kevin Kölsch', 'Dennis Widmyer']","['Lorenzo di Bonaventura', 'Mark Vahradian', 'Steven Schneider']",Laurie Rose,United States,101.0,2019-03-16,Paramount Pictures,English,Jeff Buhler,"['Jason Clarke', 'Amy Seimetz', 'John Lithgow']",Sarah Broshar,Christopher Young,"['Di Bonaventura Pictures', 'Room 101, Inc.']","['Pet Sematary', 'by ', 'Stephen King']",Matt Greenberg,21000000.0,113100000.0,Success,2019,,
The Best of Enemies,Robin Bissell,"['Danny Strong', 'Fred Bernstein', 'Matt Berenson', 'Robin Bissell', 'Dominique Telson', 'Tobey Maguire', 'Matthew Plouffe']",David Lanzenberg,United States,133.0,2019-04-05,STXfilms,English,Robin Bissell,"['Taraji P. Henson', 'Sam Rockwell', 'Babou Ceesay', 'Anne Heche', 'Wes Bentley', 'Nick Searcy', 'Bruce McGill']",Harry Yoon,Marcelo Zarvos,"['Astute Films', 'Material Pictures']","['The Best of Enemies: Race and Redemption in the New South', 'by ', 'Osha Gray Davidson']",,10000000.0,10200000.0,Failure,2019,,
