Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
Glass,M. Night Shyamalan,"['M. Night Shyamalan', 'Jason Blum', 'Marc Bienstock', 'Ashwin Rajan']",Mike Gioulakis,,129,2019-01-12,"['Universal Pictures (United States and Canada)', 'Buena Vista International (International)']",English,M. Night Shyamalan,"['James McAvoy', 'Bruce Willis', 'Anya Taylor-Joy', 'Sarah Paulson', 'Samuel L. Jackson']","['Luke Ciarrocchi', 'Blu Murray']",West Dylan Thordson,"['Universal Pictures', 'Perfect World Pictures', 'Blinding Edge Pictures', 'Blumhouse Productions', 'Buena Vista International']",,,20000000.0,247000000.0,Success
Close,Vicky Jewson,"['Rupert Whitaker', 'Jason Newmark', 'Vicky Jewson']",Malte Rosenfeld,United Kingdom,94,2019-01-18,Netflix,English,"['Vicky Jewson', 'Rupert Whitaker']","['Noomi Rapace', 'Sophie Nélisse', 'Indira Varma', 'Eoin Macken']",Richard Smither,Marc Canham,"['Piccadilly Pictures', 'Westend Films', 'Whitaker Media', 'Jewson Film']",,,,60040.0,
The Standoff at Sparrow Creek,Henry Dunham,"['Johnathan Brownlee', 'Adam Donaghey', 'Sefton Fincham', 'Amanda Presmyk', 'Dallas Sonnier']",Jackson Hunt,United States,88,2018-09-09,RLJ Entertainment,English,Henry Dunham,"['James Badge Dale', 'Brian Geraghty', 'Patrick Fischler', 'Happy Anderson', 'Robert Aramayo', 'Gene Jones', 'Chris Mulkey']",Josh Ethier,,"['Cinestate', 'XYZ Films', 'Look to the Sky Films']",,,,,
The Final Wish,Timothy Woodward Jr.,"['Johnny Cleveland', 'Thommy Hutson', 'Jeffrey Reddick']",Pablo Diez,United States,95,2018-10-17,Cinedigm Entertainment Group,English,"['Jeffrey Reddick', 'William Halfon', 'Jonathan Doyle']","['Lin Shaye', 'Michael Welch', 'Melissa Bolona', 'Spencer Locke', 'Tony Todd']",Ned Thorne,Samuel Joseph Smythe,"['BondIt Media Capital', 'Global Renaissance Entertainment Group']",,Jeffrey Reddick,,95220.0,
The Kid Who Would Be King,Joe Cornish,"['Tim Bevan', 'Eric Fellner', 'Nira Park']",Bill Pope,,120,2019-01-25,20th Century Fox,English,Joe Cornish,"['Louis Ashbourne Serkis', 'Tom Taylor', 'Rebecca Ferguson', 'Patrick Stewart']","['Jonathan Amos', 'Paul Machliss']",Electric Wave Bureau,"['20th Century Fox', 'Working Title Films', 'Big Talk Pictures', 'TSG Entertainment']",,,59000000.0,32100000.0,Failure
Serenity,Steven Knight,"['Greg Shapiro', 'Guy Heeley', 'Steven Knight']",Jess Hall,United States,106,2019-01-25,"['Aviron Pictures (United States)', 'Global Road Entertainment (International)']",English,Steven Knight,"['Matthew McConaughey', 'Anne Hathaway', 'Diane Lane', 'Jason Clarke', 'Djimon Hounsou']",Laura Jennings,Benjamin Wallfisch,"['Global Road Entertainment', 'Starlings Entertainment', 'Nebulastar', 'Shoebox Films']",,,25000000.0,14400000.0,Failure
I Am Mother,Grant Sputore,"['Timothy White', 'Kelvin Munro']",Steve Annis,Australia,113,2019-01-25,Netflix,English,Michael Lloyd Green,"['Clara Rugaard', 'Rose Byrne', 'Hilary Swank']",Sean Lahiff,"['Dan Luscombe', 'Antony Partos']","['Penguin Empire', 'Southern Light Films', 'Mister Smith Entertainment', 'Endeavor Content']",,"['Michael Lloyd Green', 'Grant Sputore']",,643593.0,
The Vast of Night,Andrew Patterson,"['James Montague', 'Melissa Kirkendall', 'Adam Dietrich']",M. I. Littin-Menz,United States,89,2019-01-26,Amazon Studios,English,"['James Montague', 'Craig W. Sanger']","['Sierra McCormick', 'Jake Horowitz']",Junius Tully,"['Erick Alexander', 'Jared Bulmer']",GED Cinema,,,700000.0,,
Miss Balasubramaniam,Catherine Hardwicke,"['Pablo Cruz', 'Kevin Misher']",Patrick Murguia,,104,2019-02-01,Sony Pictures Releasing,,Gareth Dunnett-Alcocer,"['Gina Rodriguez', 'Ismael Cruz Córdova', 'Anthony Mackie']",Terilyn A. Shropshire,Alex Heffes,"['Columbia Pictures', 'Canana Films', 'Misher Films']","['Miss Bala', 'by Gerardo Naranjo', 'Mauricio Katz']",,15000000.0,15400000.0,Failure
Velvet Buzzsaw,Dan Gilroy,Jennifer Fox,Robert Elswit,United States,114,2019-01-27,Netflix,English,Dan Gilroy,"['Jake Gyllenhaal', 'Rene Russo', 'Toni Collette', 'Zawe Ashton', 'Tom Sturridge', 'Natalia Dyer', 'Daveed Diggs', 'Billy Magnussen', 'John Malkovich']",John Gilroy,"['Marco Beltrami', 'Buck Sanders']",['Netflix'],,,21200000.0,,
The Lego Movie 2: The Second Part,Mike Mitchell,"['Dan Lin', 'Phil Lord', 'Christopher Miller', 'Roy Lee', 'Jinko Gotoh']",Shelly Johnson (live-action sequences),,107,2019-02-02,Warner Bros. Pictures,English,"['Phil Lord', 'Christopher Miller']","['Chris Pratt', 'Elizabeth Banks', 'Will Arnett', 'Tiffany Haddish', 'Stephanie Beatriz', 'Alison Brie', 'Nick Offerman', 'Charlie Day', 'Maya Rudolph']",Clare Knight,Mark Mothersbaugh,"['Warner Animation Group', 'Lego System A/S', 'Rideback', 'Lord Miller Productions', 'Vertigo Entertainment']",Lego Construction Toys,"['Phil Lord', 'Christopher Miller', 'Matthew Fogel']",99000000.0,199600000.0,Failure
What Men Want,Adam Shankman,"['Taraji P. Henson', 'James Lopez', 'Will Packer']",Jim Denault,United States,117,2019-02-08,Paramount Pictures,English,"['Tina Gordon', 'Alex Gregory', 'Peter Huyck']","['Taraji P. Henson', 'Aldis Hodge', 'Richard Roundtree', 'Wendi McLendon-Covey', 'Tracy Morgan']",Emma E. Hickox,Brian Tyler,"['Will Packer Productions', 'BET Films', 'Paramount Players']","['What Women Want', 'by Josh Goldsmith', 'Cathy Yuspa', 'Diane Drake']","['Tina Gordon', 'Jas Waters']",20000000.0,72200000.0,Success
Cold Pursuit,Hans Petter Moland,"['Finn Gjerdrum', 'Stein B. Kvae', 'Michael Shamberg', 'Ameet Shukla']",Philip Øgaard,,118,2019-02-08,"['Summit Entertainment', 'Lionsgate', ' (United States)', 'Elevation Pictures', 'Entract Films', ' (Canada)', 'SF Studios', ' (Scandinavia)', 'StudioCanal', ' (International)']",English,Frank Baldwin,"['Liam Neeson', 'Tom Bateman', 'Tom Jackson', 'Emmy Rossum', 'Domenick Lombardozzi', 'Julia Jones', 'John Doman', 'Laura Dern']",Nicolaj Monberg,George Fenton,"['MAS Productions', 'Paradox Films', 'Canal+', 'Ciné+']","['In Order of Disappearance', 'by ', 'Kim Fupz Aakeson']",,60000000.0,76300000.0,Failure
High Flying Bird,Steven Soderbergh,Joseph Malloch,Peter Andrews,United States,91,2019-01-27,Netflix,English,Tarell Alvin McCraney,"['André Holland', 'Zazie Beetz', 'Melvin Gregg', 'Sonja Sohn', 'Zachary Quinto', 'Kyle MacLachlan', 'Bill Duke']",Mary Ann Bernard,David Wilder Savage,"['Extension 765', 'Harper Road Films']",,,2000000.0,,
The Prodigy,Nicholas McCarthy,Tripp Vinson,Bridger Nielson,,92,2019-02-08,Orion Pictures,English,Jeff Buhler,"['Taylor Schilling', 'Jackson Robert Scott', 'Colm Feore']","['Tom Elkins', 'Brian Ufberg']",Joseph Bishara,"['Vinson Films', 'XYZ Films']",,,6000000.0,21100000.0,Success
Isn't It Romantic,Todd Strauss-Schulson,"['Todd Garner', 'Grant Scharbo', 'Gina Matthews']",Simon Duggan,United States,89,2019-02-13,"['Warner Bros. Pictures (United States, Canada and Argentina)', 'Netflix (International)']",English,"['Erin Cardillo', 'Dana Fox', 'Katie Silberman']","['Rebel Wilson', 'Liam Hemsworth', 'Adam DeVine', 'Priyanka Chopra Jonas']",Andrew Marcus,John Debney,"['New Line Cinema', 'Bron Creative', 'Camp Sugar', 'Little Engine', 'Broken Road Productions']",,Erin Cardillo,31000000.0,48800000.0,Failure
Happy Death Day 2U,Christopher Landon,Jason Blum,Toby Oliver,United States,100,2019-02-13,Universal Pictures,English,Christopher Landon,"['Jessica Rothe', 'Israel Broussard', 'Suraj Sharma', 'Steve Zissis']",Ben Baudhuin,Bear McCreary,Blumhouse Productions,"['Characters', 'by ', 'Scott Lobdell']",,9000000.0,64599999.99999999,Success
Alita: Battle Angel,Robert Rodriguez,"['James Cameron', 'Jon Landau']",Bill Pope,United States,122,2019-01-31,20th Century Fox,English,"['James Cameron', 'Laeta Kalogridis']","['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali', 'Ed Skrein', 'Jackie Earle Haley', 'Keean Johnson']","['Stephen E. Rivkin', 'Ian Silverstein']",Tom Holkenborg,"['20th Century Fox', 'Lightstorm Entertainment', 'Troublemaker Studios', 'TSG Entertainment']","['Gunnm', 'by ', 'Yukito Kishiro']",,150000000.0,405000000.0,Success
How to Train Your Dragon: The Hidden World,Dean DeBlois,"['Bonnie Arnold', 'Brad Lewis']",,United States,104,2019-01-03,Universal Pictures,English,Dean DeBlois,"['Jay Baruchel', 'America Ferrera', 'F. Murray Abraham', 'Cate Blanchett', 'Craig Ferguson']",John K. Carr,John Powell,DreamWorks Animation,"['How to Train Your Dragon', 'by ', 'Cressida Cowell']",,129000000.0,525700000.00000006,Success
Fighting with My Family,Stephen Merchant,"['Kevin Misher', 'Dwayne Johnson', 'Dany Garcia', 'Stephen Merchant', 'Michael J. Luisi']",Remi Adefarasin,,108,2019-01-28,"['Metro-Goldwyn-Mayer (North America)', 'Lionsgate UK (United Kingdom and Ireland)', 'Universal Pictures (International)']",English,Stephen Merchant,"['Florence Pugh', 'Lena Headey', 'Nick Frost', 'Jack Lowden', 'Vince Vaughn', 'Dwayne Johnson']",Nancy Richardson,"['Vik Sharma', 'Graham Coxon']","['Metro-Goldwyn-Mayer', 'Film4 Productions', 'The Ink Factory', 'Seven Bucks Productions', 'Misher Films', 'WWE Studios']","['The Wrestlers: Fighting with My Family', 'by Max Fisher']",,11000000.0,41500000.0,Success
A Madea Family Funeral,Tyler Perry,"['Ozzie Areu', 'Will Areu', 'Mark E. Swinton']",Richard Vialet,United States,109,2019-03-01,Lionsgate,English,Tyler Perry,"['Cassi Davis', 'Patrice Lovely', 'Tyler Perry']",Larry Sexton,Philip White,Tyler Perry Studios,,,20000000.0,75800000.0,Success
Greta,Neil Jordan,"['Sidney Kimmel', 'John Penotti', 'James Flynn', 'Lawrence Bender', 'Karen Richards']",Seamus McGarvey,,98,2018-09-06,Focus Features,English,"['Ray Wright', 'Neil Jordan']","['Isabelle Huppert', 'Chloë Grace Moretz', 'Maika Monroe', 'Colm Feore', 'Stephen Rea']",Nick Emerson,Javier Navarrete,"['Sidney Kimmel Entertainment', 'Showbox', 'Starlight Culture Entertainment Group', 'Screen Ireland', 'Lawrence Bender Productions', 'Metropolitan Films', 'Little Wave Productions']",,Ray Wright,,18700000.0,
Triple Frontier,J. C. Chandor,"['Charles Roven', 'Alex Gartner', 'Andy Horwitz', 'Neal Dodson']",Roman Vasyanov,United States,125,2019-03-03,Netflix,English,"['Mark Boal', 'J. C. Chandor']","['Ben Affleck', 'Oscar Isaac', 'Charlie Hunnam', 'Garrett Hedlund', 'Pedro Pascal']",Ron Patane,Disasterpeace,Atlas Entertainment,,Mark Boal,115000000.0,,
Captain Marvel,"['Anna Boden', 'Ryan Fleck']",Kevin Feige,Ben Davis,United States,124,2019-02-27,"['Walt Disney Studios', 'Motion Pictures']",English,"['Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']","['Elliot Graham', 'Debbie Berman']",Pinar Toprak,Marvel Studios,Marvel Comics,"['Nicole Perlman', 'Meg LeFauve', 'Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']",152000000.0,1131000000.0,Success
The Kid,Vincent D'Onofrio,"['Jordan Schur', 'Nick Thurlow', 'Sam Maydew', 'David Mimran']",Matthew J. Lloyd,United States,96,2019-03-08,Lionsgate,English,Andrew Lanham,"['Ethan Hawke', 'Dane DeHaan', 'Jake Schur', 'Leila George', 'Adam Baldwin', 'Chris Pratt']",Katharine McQuerrey,"['Latham Gaines', 'Shelby Gaines']",Suretone Pictures,,"[""Vincent D'Onofrio"", 'Andrew Lanham']",7000000.0,1600000.0,Failure
Wonder Park,Dylan Brown,"['Josh Appelbaum', 'André Nemec', 'Kendra Haaland']",Juan García González,,85,2019-03-15,Paramount Pictures,English,"['Josh Appelbaum', 'André Nemec']","['Jennifer Garner', 'Matthew Broderick', 'John Oliver', 'Mila Kunis', 'Kenan Thompson']",Edie Ichioka,Steven Price,"['Paramount Animation', 'Nickelodeon Movies', 'Ilion Animation Studios']",,"['Robert Gordon', 'Josh Appelbaum', 'André Nemec']",80000000.0,119600000.0,Failure
Nancy Drew and the Hidden Staircase,Katt Shea,"['Ellen DeGeneres', 'Jeff Kleeman', 'Chip Diggins']",Edd Lukas,United States,89,2019-03-15,Warner Bros. Pictures,English,"['Nina Fiore', 'John Herrera']","['Sophia Lillis', 'Sam Trammell', 'Linda Lavin']",Richard Nord,['Sherri Chung'],"['A Very Good Production', 'Red 56']","['Nancy Drew by Edward Stratemeyer', 'The Hidden Staircase by Carolyn Keene ( Mildred Wirt Benson )']",,17000000.0,623088.0,Failure
Captive State,Rupert Wyatt,"['David Crockett', 'Rupert Wyatt']",Alex Disenhof,United States,109,2019-03-15,Focus Features,English,"['Erica Beeney', 'Rupert Wyatt']","['John Goodman', 'Ashton Sanders', 'Jonathan Majors', 'Colson Baker', 'Vera Farmiga']",Andrew Groves,Rob Simonsen,"['Participant Media', 'Lightfuse & Gettaway']",,,25000000.0,8800000.0,Failure
The Aftermath,James Kent,"['Jack Arbuthnott', 'Malte Grunert', 'Ridley Scott']",Franz Lustig,,108,2019-02-26,Fox Searchlight Pictures,,"['Joe Shrapnel', 'Anna Waterhouse']","['Keira Knightley', 'Alexander Skarsgård', 'Jason Clarke']",Beverley Mills,Martin Phipps,"['Fox Searchlight Pictures', 'TSG Entertainment', 'Amusement Park Films', 'Scott Free Productions', 'BBC Films']","['The Aftermath', '2013 novel', 'by ', 'Rhidian Brook']",,,9200000.0,
Five Feet Apart,Justin Baldoni,"['Cathy Schulman', 'Justin Baldoni', 'Christopher H. Warner']",Frank G. DeMarco,United States,116,2019-03-15,Lionsgate,English,"['Rachael Lippincott', 'Mikki Daughtry', 'Tobias Iaconis']","['Haley Lu Richardson', 'Cole Sprouse', 'Moisés Arias', 'Kimberly Hébert Gregory', 'Parminder Nagra', 'Claire Forlani']",Angela M. Catanzaro,"['Brian Tyler', 'Breton Vivian']","['CBS Films', 'Welle Entertainment', 'Wayfarer Entertainment']",,,7000000.0,92600000.0,Success
The Highwaymen,John Lee Hancock,Casey Silver,John Schwartzman,United States,132,2019-03-10,Netflix,English,John Fusco,"['Kevin Costner', 'Woody Harrelson', 'Kathy Bates', 'John Carroll Lynch', 'Kim Dickens', 'Thomas Mann', 'William Sadler']",Robert Frazen,Thomas Newman,Casey Silver Productions,,,49000000.0,,
Red 11,Robert Rodriguez,Robert Rodriguez,Robert Rodriguez,United States,77,2019-03-15,Double R Productions,English,"['Robert Rodriguez', 'Racer Rodriguez']","['Roby Attal', 'Lauren Hatfield', 'Alejandro Rose-Garcia', 'Eman Esfandi', 'Steve Brudniak', 'Brently Heilbron', 'Pierce Foster Bailey', 'Katherine Willis', 'Ulysses Montoya', 'Carlos Gallardo']",Robert Rodriguez,Rebel Rodriguez,Double R Productions,"['Rebel Without a Crew', 'by Robert Rodriguez']",,7000.0,,
Never Grow Old,Ivan Kavanagh,"['Jacqueline Kerrin', 'Dominic Wright', 'Nicolas Steil']",Piers McGrail,,100,2019-03-15,Saban Films,English,Ivan Kavanagh,"['Emile Hirsch', 'Déborah François', 'John Cusack', 'Danny Webb', 'Tim Ahern', 'Sam Louwyck', 'Manon Capelle']",Dermot Diskin,"['Aza Hand', 'Will Slattery', 'Gast Waltzing']",Ripple World Pictures,,,,106796.0,
Triple Threat,Jesse V. Johnson,"['Mike Gabrawy', 'Gary Hamilton', 'Chen Sylen Hwa', 'Sheldon Pang', 'Mike Selby', 'He Shi', 'Elliott Tong', 'Ying Ye']",Jonathan Hall,,96,2019-03-19,"['Aurora Alliance Films', 'Well Go USA Entertainment']",,Dwayne Smith,"['Tony Jaa', 'Iko Uwais', 'Tiger Chen', 'Scott Adkins', 'Michael Jai White', 'Michael Bisping', 'Celina Jade', 'Jeeja Yanin']",Matthew Lorentz,Joel J. Richard,"['Kungfuman Culture Media', 'Hamilton Entertainment', 'Arclight Films', 'FJ Media Group', 'Gamegoo Pictures', 'WWE Studios', 'TF1 Séries Films', 'Ingenious Media']",,"[""Joey O'Bryan"", 'Paul Staheli']",10000000.0,345900.0,Failure
Us,Jordan Peele,"['Jason Blum', 'Ian Cooper', 'Sean McKittrick', 'Jordan Peele']",Mike Gioulakis,,116,2019-03-08,Universal Pictures,English,Jordan Peele,"[""Lupita Nyong'o"", 'Winston Duke', 'Elisabeth Moss', 'Tim Heidecker']",Nicholas Monsour,Michael Abels,"['Monkeypaw Productions', 'Perfect World Pictures']",,,20000000.0,256100000.00000003,Success
Hotel Mumbai,Anthony Maras,"['Basil Iwanyk', 'Gary Hamilton', 'Andrew Ogilvie', 'Jomon Thomas', 'Mike Gabrawy', 'Julie Ryan', 'Brian Hayes', 'Shivani Rawat']",Nick Remy Matthews,,125,2018-09-07,"['Bleecker Street (United States)', 'Icon Film Distribution (Australia)', 'Zee Studios', 'Purpose Entertainment (India)']",,"['John Collee', 'Anthony Maras']","['Dev Patel', 'Armie Hammer', 'Nazanin Boniadi', 'Tilda Cobham-Hervey', 'Anupam Kher', 'Jason Isaacs', 'Suhail Nayyar', 'Vipin Sharma']","['Peter McNulty', 'Anthony Maras']",Volker Bertelmann,"['Thunder Road Pictures', 'Arclight Films', 'Electric Pictures', 'Xeitgeist Entertainment Group', 'ShivHans Pictures', 'Screen Australia']",2008 Mumbai Attacks,,17300000.0,21100000.0,Failure
The Dirt,Jeff Tremaine,"['Allen Kovac', 'Erik Olsen', 'Julie Yorn', 'Rick Yorn']",Toby Oliver,United States,108,2019-03-18,Netflix,English,"['Rich Wilkes', 'Amanda Adelson']","['Douglas Booth', 'Colson Baker', 'Daniel Webber', 'Iwan Rheon', 'Pete Davidson']",Melissa Kent,Paul Haslinger,"['10th Street Entertainment', 'LBI Entertainment']","[""The Dirt: Confessions of the World's Most Notorious Rock Band"", 'by ', 'Neil Strauss', 'Tommy Lee', 'Mick Mars', 'Vince Neil', 'Nikki Sixx']",,23100000.0,,
Dragged Across Concrete,S. Craig Zahler,"['Sefton Fincham', 'Jack Heller', 'Tyler Jackson', 'Keith Kjarval', 'Dallas Sonnier']",Benji Bakshi,United States,159,2018-09-03,Lionsgate,English,S. Craig Zahler,"['Mel Gibson', 'Vince Vaughn', 'Tory Kittles', 'Michael Jai White', 'Jennifer Carpenter', 'Laurie Holden', 'Fred Melamed', 'Udo Kier', 'Thomas Kretschmann', 'Don Johnson']",Greg D'Auria,"['Jeff Herriott', 'S. Craig Zahler']","['Summit Entertainment', 'Unified Pictures', 'Cinestate', 'Look to the Sky Films', 'The Fyzz Facility', 'Assemble Media', 'Moot Point Productions']",,,15000000.0,660132.0,Failure
Dumbo,Tim Burton,"['Justin Springer', 'Ehren Kruger', 'Katterli Frauenfelder', 'Derek Frey']",Ben Davis,United States,112,2019-03-11,"['Walt Disney Studios', ' Motion Pictures']",English,Ehren Kruger,"['Colin Farrell', 'Michael Keaton', 'Danny DeVito', 'Eva Green', 'Alan Arkin']",Chris Lebenzon,Danny Elfman,"['Walt Disney Pictures', 'Tim Burton Productions', 'Infinite Detective Productions', 'Secret Machine Entertainment']","[""Disney 's Dumbo by Otto Englander Joe Grant Dick Huemer"", 'Dumbo, the Flying Elephant by Helen Aberson Harold Pearl']",,170000000.0,353300000.0,Failure
The Beach Bum,Harmony Korine,"['Charles-Marie Anthonioz', 'Mourad Belkeddar', 'Steve Golin', 'John Lesher', 'Nicholas Lhermitte']",Benoît Debie,United States,95,2019-03-09,Neon,English,Harmony Korine,"['Matthew McConaughey', 'Snoop Dogg', 'Isla Fisher', 'Jimmy Buffett', 'Zac Efron', 'Martin Lawrence']",Douglas Crise,John Debney,"['Iconoclast', 'Anonymous Content', 'Le Grisbi Productions', 'SPK Pictures', 'Vice Films', 'Riverstone Pictures', 'Rocket Science']",,,5000000.0,4600000.0,Failure
Unplanned,"['Cary Solomon', 'Chuck Konzelman']","['Chris Jones', 'Joe Knopp', 'Daryl Lefever', 'Cary Solomon', 'Chuck Konzelman']",Drew Maw,United States,106,2019-03-29,Pure Flix Entertainment,English,"['Cary Solomon', 'Chuck Konzelman']","['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott']","['Parker Adams', 'Dana Wilson']",Stephen Blake Kanicka,Soli Deo Gloria,,,6000000.0,21300000.0,Success
Shazam!,David F. Sandberg,Peter Safran,Maxime Alexandre,['United States'],132,2019-03-28,Warner Bros. Pictures,English,Henry Gayden,"['Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer', 'Djimon Hounsou']",Michel Aller,Benjamin Wallfisch,"['New Line Cinema', 'DC Films', 'The Safran Company', 'Seven Bucks Productions']","['Characters', 'from ', 'DC']","['Henry Gayden', 'Darren Lemke']",90000000.0,367800000.0,Success
Pet Sematary,"['Kevin Kölsch', 'Dennis Widmyer']","['Lorenzo di Bonaventura', 'Mark Vahradian', 'Steven Schneider']",Laurie Rose,United States,101,2019-03-16,Paramount Pictures,English,Jeff Buhler,"['Jason Clarke', 'Amy Seimetz', 'John Lithgow']",Sarah Broshar,Christopher Young,"['Di Bonaventura Pictures', 'Room 101, Inc.']","['Pet Sematary', 'by ', 'Stephen King']",Matt Greenberg,21000000.0,113100000.0,Success
The Best of Enemies,Robin Bissell,"['Danny Strong', 'Fred Bernstein', 'Matt Berenson', 'Robin Bissell', 'Dominique Telson', 'Tobey Maguire', 'Matthew Plouffe']",David Lanzenberg,United States,133,2019-04-05,STXfilms,English,Robin Bissell,"['Taraji P. Henson', 'Sam Rockwell', 'Babou Ceesay', 'Anne Heche', 'Wes Bentley', 'Nick Searcy', 'Bruce McGill']",Harry Yoon,Marcelo Zarvos,"['Astute Films', 'Material Pictures']","['The Best of Enemies: Race and Redemption in the New South', 'by ', 'Osha Gray Davidson']",,10000000.0,10200000.0,Failure
High Life,Claire Denis,"['Andrew Lauren', 'D.J. Gugenheim', 'Claudia Steffen', 'Christoph Friedel', 'Laurence Clerc', 'Olivier Théry-Lapiney', 'Oliver Dungey', 'Klaudia Smieja']",Yorick Le Saux,,110,2018-09-09,"['Wild Bunch (France)', 'Pandora Filmproduktion (Germany)', 'Thunderbird Releasing (United Kingdom)', 'Against Gravity (Poland)', 'A24 (United States)']",English,"['Claire Denis', 'Jean-Pol Fargeau']","['Robert Pattinson', 'Juliette Binoche', 'André Benjamin', 'Mia Goth', 'Agata Buzek', 'Lars Eidinger', 'Claire Tran', 'Ewan Mitchell', 'Gloria Obianyo', 'Victor Banerjee', 'Scarlette Lindsey', 'Jessie Ross']",Guy Lecorne,Stuart A. Staples,"['Andrew Lauren Productions', 'Pandora Filmproduktion', 'Alcatraz Films', 'The Apocalypse Films Company', 'Madants', 'BFI', 'Arte', 'ZDF', 'Canal+', 'Ciné+']",,,,2800000.0,
Unicorn Store,Brie Larson,"['Brie Larson', 'David Bernad', 'Terry Dougas', 'Ruben Fleischer', 'Lynette Howell Taylor', 'Paris Kassidokostas-Latsis']",Brett Pawlak,United States,92,2017-09-11,Netflix,English,Samantha McIntyre,"['Brie Larson', 'Samuel L. Jackson', 'Joan Cusack', 'Bradley Whitford', 'Karan Soni', 'Mamoudou Athie', 'Mary Holland', 'Hamish Linklater']",Jennifer Vecchiarello,Alex Greenwald,"['Rhea Films', 'The District', 'Rip Cord Productions', 'Sycamore Pictures', 'Hercules Film Fund', '51 Entertainment']",,,,,
The Haunting of Sharon Tate,Daniel Farrands,"['Lucas Jarach', 'Daniel Farrands', 'Eric Brenner']",Carlo Rinaldi,United States,90,2019-04-05,['Saban Films'],English,Daniel Farrands,"['Hilary Duff', 'Jonathan Bennett', 'Lydia Hearst', 'Pawel Szajda', 'Ryan Cargill']",Dan Riddle,Fantom,"['Voltage Pictures', 'Skyline Entertainment', 'ETA Films', 'Green Light Pictures', '1428 Films']",,,,,
The Wind,Emma Tammi,"['Christopher Alender', 'David Grove Churchill Viste']",Lyn Moncrief,United States,86,2018-09-10,IFC Midnight,English,Teresa Sutherland,"['Caitlin Gerard', 'Ashley Zukerman', 'Julia Goldani Telles', 'Miles Anderson']",Alexandra Amick,Ben Lovett,"['Divide/Conquer', 'Soapbox Films']",,,,130974.0,
The Silence,John R. Leonetti,"['Robert Kulzee', 'Scott Lambert', 'Alexandra Milchan']",Michael Galbraith,,90,2019-04-10,"['Constantin Film ', 'Netflix', ' ']",,"['Carey Van Dyke', 'Shane Van Dyke']","['Kiernan Shipka', 'Stanley Tucci', 'Miranda Otto', 'John Corbett']",Michele Conroy,Tomandandy,"['Constantin Film', 'EMJAG Productions']","['The Silence', 'by ', 'Tim Lebbon']",,,2300000.0,
Hellboy,Neil Marshall,"['Lawrence Gordon', 'Lloyd Levin', 'Mike Richardson', 'Philip Westgren', 'Carl Hampe', ""Matt O'Toole"", 'Les Weldon', 'Yariv Lerner']",Lorenzo Senatore,,121,2019-04-09,['Lionsgate'],English,Andrew Cosby,"['David Harbour', 'Milla Jovovich', 'Ian McShane', 'Sasha Lane', 'Daniel Dae Kim', 'Thomas Haden Church']",Martin Bernfeld,Benjamin Wallfisch,"['Summit Entertainment', 'Millennium Media', 'Lawrence Gordon/Lloyd Levin Productions', 'Dark Horse Entertainment', 'Nu Boyana', 'Campbell Grobman Films']","['Hellboy', 'by ', 'Mike Mignola']",,50000000.0,55100000.0,Failure
Little,Tina Gordon,"['Will Packer', 'Kenya Barris', 'James Lopez']",Greg Gardiner,United States,109,2019-04-08,Universal Pictures,English,"['Tracy Oliver', 'Tina Gordon']","['Regina Hall', 'Issa Rae', 'Marsai Martin']",David Moritz,Germaine Franco,"['Legendary Pictures', 'Will Packer Productions', 'Perfect World Pictures']",,Tracy Oliver,20000000.0,49000000.0,Success
Missing Link,Chris Butler,"['Arianne Sutner', 'Travis Knight']",Chris Peterson,United States,94,2019-04-05,"['United Artists Releasing (United States)', 'AGC International (International)']",English,Chris Butler,"['Hugh Jackman', 'Zoe Saldana', 'David Walliams', 'Stephen Fry', 'Matt Lucas', 'Timothy Olyphant', 'Amrita Acharia', 'Ching Valdes-Aran', 'Emma Thompson', 'Zach Galifianakis']",Stephen Perkins,Carter Burwell,"['Annapurna Pictures', 'Laika']",,,100000000.0,26600000.0,Failure
