Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
The Great Gatsby,Baz Luhrmann,"['Baz Luhrmann', 'Catherine Knapman', 'Douglas Wick', 'Lucy Fisher', 'Catherine Martin']",Simon Duggan,,142,2013-05-01,"['Warner Bros. Pictures (Worldwide)', 'Roadshow Films (Australia)']",English,"['Baz Luhrmann', 'Craig Pearce']","['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Joel Edgerton', 'Isla Fisher', 'Jason Clarke', 'Amitabh Bachchan']","['Matt Villa', 'Jason Ballantine', 'Jonathan Redmond']",Craig Armstrong,"['Village Roadshow Pictures', 'A&E Television', 'Bazmark Productions', 'Red Wagon Entertainment']","['The Great Gatsby', 'by ', 'F. Scott Fitzgerald']",,105000000.0,353600000.0,Success
He's Way More Famous Than You,Michael Urie,"['Christopher Sepulveda', 'Michael Anderson', 'Geoffrey Soffer']",Austin F. Schmidt,United States,96,2013-01-20,Warner Bros.,English,"['Halley Feiffer', 'Ryan Spahn']","['Jesse Eisenberg', 'Halley Feiffer', 'Ben Stiller', 'Mamie Gummer', 'Vanessa Williams', 'Michael Urie']",Jim Mol,Jeff Beal,"['Logolite Entertainment', 'Ur-Mee Productions']",,,,,
No One Lives,Ryuhei Kitamura,"['Harry Knapp', 'Kami Naghdi']",Daniel Pearl,United States,86,2012-09-08,Anchor Bay Films,English,David Cohen,"['Luke Evans', 'Adelaide Clemens', 'Lee Tergesen', 'Laura Ramsey', 'Derek Magyar', 'Beau Knapp', 'America Olivo', 'Brodus Clay', 'Lindsey Shaw']",Toby Yates,Jerome Dillon,WWE Studios,,,1600000.0,974918.0,Failure
Peeples,Tina Gordon Chism,"['Tyler Perry', 'Stephanie Allain', 'Ozzie Areu', 'Paul Hall', 'Matt Moore']",Alexander Gruszynski,United States,100,2013-05-10,Lionsgate,English,Tina Gordon Chism,"['Craig Robinson', 'Kerry Washington', 'David Alan Grier', 'S. Epatha Merkerson', 'Tyler James Williams', 'Melvin Van Peebles', 'Diahann Carroll']",David Moritz,Aaron Zigman,34th Street Films,,,15000000.0,9300000.0,Failure
Star Trek Into Darkness,J. J. Abrams,"['J. J. Abrams', 'Bryan Burk', 'Damon Lindelof', 'Alex Kurtzman', 'Roberto Orci']",Dan Mindel,United States,132,2013-04-23,Paramount Pictures,English,"['Roberto Orci', 'Alex Kurtzman', 'Damon Lindelof']","['John Cho', 'Benedict Cumberbatch', 'Alice Eve', 'Bruce Greenwood', 'Simon Pegg', 'Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Peter Weller', 'Anton Yelchin']","['Mary Jo Markey', 'Maryann Brandon']",Michael Giacchino,"['Skydance Productions', 'Bad Robot', 'K/O Paper Products']","['Star Trek', 'by ', 'Gene Roddenberry']",,185000000.0,467400000.0,Success
Black Rock,Katie Aselton,Adele Romanski,Hillary Spera,United States,80,2012-01-21,LD Entertainment,English,Mark Duplass,"['Katie Aselton', 'Lake Bell', 'Kate Bosworth']",Jacob Vaughan,Ben Lovett,Submarine Entertainment,,,,,
The English Teacher,Craig Zisk,"['Matthew E. Chausse', 'Naomi Despres', 'Ben LeClair', 'Robert Salerno']",Vanja Cernjul,United States,93,2013-04-26,"['Cinedigm Entertainment', 'Tribeca Film']",English,"['Dan Chariton', 'Stacy Chariton']","['Julianne Moore', 'Michael Angarano', 'Greg Kinnear', 'Lily Collins', 'Nathan Lane']",Myron Kerstein,Rob Simonsen,Artina Films,,,,320013.0,
Frances Ha,Noah Baumbach,"['Noah Baumbach', 'Scott Rudin', 'Lila Yacoub', 'Rodrigo Teixeira']",Sam Levy,United States,86,2012-09-01,IFC Films,English,"['Noah Baumbach', 'Greta Gerwig']","['Greta Gerwig', 'Mickey Sumner']",Jennifer Lame,,"['RT Features', 'Pine District Pictures', 'Scott Rudin Productions']",,,3000000.0,11300000.0,Success
The Reluctant Fundamentalist,Mira Nair,Lydia Dean Pilcher,Declan Quinn,,130,2012-08-29,"['IFC Films (United States)', 'PVR Pictures (India)']",,William Wheeler,"['Riz Ahmed', 'Kate Hudson', 'Liev Schreiber', 'Kiefer Sutherland', 'Om Puri', 'Shabana Azmi', 'Haluk Bilginer']",Shimit Amin,Michael Andrews,"['Doha Film Institute', 'Mirabai Films', 'Cine Mosaic']","['The Reluctant Fundamentalist', 'by Mohsin Hamid']","['Mohsin Hamid', 'Ami Boghani']",15000000.0,2100000.0,Failure
The Hangover Part III,Todd Phillips,"['Todd Phillips', 'Dan Goldberg']",Lawrence Sher,United States,100,2013-05-20,Warner Bros. Pictures,English,"['Todd Phillips', 'Craig Mazin']","['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Ken Jeong', 'Justin Bartha', 'Heather Graham', 'Jeffrey Tambor', 'John Goodman']","['Debra Neil-Fisher', 'Jeff Groth']",Christophe Beck,"['Legendary Pictures', 'Green Hat Films', 'BenderSpink']","['Characters', 'by ', 'Jon Lucas', 'Scott Moore']",,103000000.0,362000000.0,Success
Before Midnight,Richard Linklater,"['Richard Linklater', 'Christos V. Konstantakopoulos', 'Sara Woodhatch']",Christos Voudouris,,109,2013-01-20,Sony Pictures Classics,English,"['Richard Linklater', 'Ethan Hawke', 'Julie Delpy']","['Ethan Hawke', 'Julie Delpy']",Sandra Adair,Graham Reynolds,"['Castle Rock Entertainment', 'Venture Forth', 'Detour Filmproduction']","['Characters', 'by Richard Linklater', 'and ', 'Kim Krizan']",,3000000.0,23300000.0,Success
Epic,Chris Wedge,"['Lori Forte', 'Jerry Davis']",Renato Falcão,United States,102,2013-05-16,20th Century Fox,English,"['James V. Hart', 'William Joyce', 'Daniel Shere', 'Tom J. Astle', 'Matt Ember']","['Colin Farrell', 'Josh Hutcherson', 'Amanda Seyfried', 'Christoph Waltz', 'Aziz Ansari', ""Chris O'Dowd"", 'Pitbull', 'Jason Sudeikis', 'Steven Tyler', 'Beyoncé Knowles']",Andy Keir,Danny Elfman,"['Blue Sky Studios', '20th Century Fox Animation']","['The Leaf Men and the Brave Good Bugs', 'by William Joyce']","['William Joyce', 'James V. Hart', 'Chris Wedge']",93000000.0,268399999.99999997,Success
Fast & Furious 6,Justin Lin,"['Neal H. Moritz', 'Vin Diesel', 'Clayton Townsend']",Stephen F. Windon,,130,2013-05-07,Universal Pictures,English,Chris Morgan,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Jordana Brewster', 'Tyrese Gibson', 'Chris ""Ludacris"" Bridges', 'Sung Kang', 'Luke Evans', 'Gina Carano', 'John Ortiz']","['Christian Wagner', 'Kelly Matsumoto', 'Dylan Highsmith']",Lucas Vidal,"['Relativity Media', 'Original Film', 'One Race Films', 'Dentsu']","['Characters', 'by ', 'Gary Scott Thompson']",,160000000.0,788700000.0,Success
After Earth,M. Night Shyamalan,"['Caleeb Pinkett', 'Jada Pinkett Smith', 'Will Smith', 'James Lassiter', 'M. Night Shyamalan']",Peter Suschitzky,United States,100,2013-05-01,Sony Pictures Releasing,English,"['Gary Whitta', 'M. Night Shyamalan']","['Jaden Smith', 'Will Smith']",Steven Rosenblum,James Newton Howard,"['Columbia Pictures', 'Overbrook Entertainment', 'Blinding Edge Pictures', 'Relativity Media']",,Will Smith,130000000.0,243800000.0,Failure
Byzantium,Neil Jordan,"['Sam Englebardt', 'William D. Johnson', 'Elizabeth Karlsen', 'Alan Moloney', 'Stephen Woolley']",Sean Bobbitt,,118,2012-09-09,"['StudioCanal (United Kingdom)', 'IFC Films (United States)']",English,Moira Buffini,"['Saoirse Ronan', 'Gemma Arterton', 'Sam Riley']",Tony Lawson,Javier Navarrete,"['Demarest Films', 'Lipsync Productions', 'Number 9 Films', 'Parallel Film Productions', 'WestEnd Films']",A Vampire Story by Moira Buffini,,,828284.0,
The East,Zal Batmanglij,"['Ridley Scott', 'Michael Costigan', 'Jocelyn Hayes-Simpson', 'Brit Marling']",Roman Vasyanov,,116,2013-01-20,Fox Searchlight Pictures,English,"['Zal Batmanglij', 'Brit Marling']","['Brit Marling', 'Alexander Skarsgård', 'Elliot Page', 'Patricia Clarkson']","['Andrew Weisblum', 'Bill Pankow']","['Halli Cauthery', 'Harry Gregson-Williams']",Scott Free Productions,,,6500000.0,2400000.0,Failure
The Kings of Summer,Jordan Vogt-Roberts,"['Tyler Davidson', 'Peter Saraf', 'John Hodges']",Ross Riege,United States,96,2013-01-19,CBS Films,English,Chris Galletta,"['Nick Robinson', 'Gabriel Basso', 'Moisés Arias', 'Mary Lynn Rajskub', 'Erin Moriarty', 'Marc Evan Jackson', 'Megan Mullally', 'Alison Brie', 'Nick Offerman']",Terel Gibson,Ryan Miller,"['Low Spark Films', 'Big Beach Films']",,,1500000.0,1400000.0,Failure
Now You See Me,Louis Leterrier,"['Alex Kurtzman', 'Roberto Orci', 'Bobby Cohen']","['Larry Fong', 'Mitchell Amundsen']",United States,124,2013-05-21,Lionsgate,English,"['Ed Solomon', 'Boaz Yakin', 'Edward Ricourt']","['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'Mélanie Laurent', 'Isla Fisher', 'Common', 'Dave Franco', 'Michael Caine', 'Morgan Freeman']","['Robert Leighton', 'Vincent Tabaillon']",Brian Tyler,"['Summit Entertainment', 'K/O Paper Products']",,"['Boaz Yakin', 'Edward Ricourt']",75000000.0,351700000.0,Success
Hello Herman,Michelle Danner,"['Ed Cha', 'Michelle Danner', 'Brian Drillinger', 'Alexandra Guarnieri']",Sandra Valde-Hansen,United States,85,2012-10-20,"['Gravitas Ventures', 'Freestyle Releasing']",English,John Buffalo Mailer,"['Norman Reedus', 'Martha Higareda']",Christian Kinnard,Jeff Beal,All in Films,,,2000000.0,8437.0,Failure
